ID,Time,Observation,ObsID,Censored,Events,Event ID,Administration ID,,,Experiment
1,0,0.001,1,-1,0.00E+00,0,0,,,PBS
1,3,0.001,1,-1,0.00E+00,0,0,,,PBS
1,5,0.001,1,-1,0.00E+00,0,0,,,PBS
1,7,0.001,1,-1,0.00E+00,0,0,,,PBS
1,10,0.001,1,-1,0.00E+00,0,0,,,PBS
1,12,0.001,1,-1,0.00E+00,0,0,,,PBS
1,14,0.001,1,-1,0.00E+00,0,0,,,PBS
1,17,0.001,1,-1,0.00E+00,0,0,,,PBS
1,19,0.01169,1,0,0.00E+00,0,0,,,PBS
1,21,0.01754,1,0,0.00E+00,0,0,,,PBS
1,24,0.0936,1,0,0.00E+00,0,0,,,PBS
1,26,0.3129,1,0,0.00E+00,0,0,,,PBS
1,28,0.6,1,0,0.00E+00,0,0,,,PBS
1,31,0.6,1,1,0.00E+00,0,0,,,PBS
,,,,,,,,,,
2,0,0.001,1,-1,0.00E+00,0,0,,,PBS
2,3,0.001,1,-1,0.00E+00,0,0,,,PBS
2,5,0.001,1,-1,0.00E+00,0,0,,,PBS
2,7,0.0117,1,0,0.00E+00,0,0,,,PBS
2,10,0.0146,1,0,0.00E+00,0,0,,,PBS
2,12,0.026,1,0,0.00E+00,0,0,,,PBS
2,14,0.03216,1,0,0.00E+00,0,0,,,PBS
2,17,0.0351,1,0,0.00E+00,0,0,,,PBS
2,19,0.0409,1,0,0.00E+00,0,0,,,PBS
2,21,0.0205,1,0,0.00E+00,0,0,,,PBS
2,24,0.17836,1,0,0.00E+00,0,0,,,PBS
2,26,0.4883,1,0,0.00E+00,0,0,,,PBS
2,28,0.4883,1,1,0.00E+00,0,0,,,
,,,,,,,,,,
3,0,0.001,1,-1,0.00E+00,0,0,,,PBS
3,3,0.001,1,-1,0.00E+00,0,0,,,PBS
3,5,0.001,1,-1,0.00E+00,0,0,,,PBS
3,7,0.01754,1,0,0.00E+00,0,0,,,PBS
3,10,0.0234,1,0,0.00E+00,0,0,,,PBS
3,12,0.03216,1,0,0.00E+00,0,0,,,PBS
3,14,0.0292,1,0,0.00E+00,0,0,,,PBS
3,17,0.07602,1,0,0.00E+00,0,0,,,PBS
3,19,0.11111,1,0,0.00E+00,0,0,,,PBS
3,21,0.1959,1,0,0.00E+00,0,0,,,PBS
3,24,0.32748,1,0,0.00E+00,0,0,,,PBS
3,26,0.6988,1,0,0.00E+00,0,0,,,PBS
3,28,0.6988,1,1,0.00E+00,0,0,,,
,,,,,,,,,,
4,0,0.001,1,-1,0.00E+00,0,0,,,PBS
4,3,0.001,1,-1,0.00E+00,0,0,,,PBS
4,5,0.001,1,-1,0.00E+00,0,0,,,PBS
4,7,0.0204,1,0,0.00E+00,0,0,,,PBS
4,10,0.0175,1,0,0.00E+00,0,0,,,PBS
4,12,0.0351,1,0,0.00E+00,0,0,,,PBS
4,14,0.0819,1,0,0.00E+00,0,0,,,PBS
4,17,0.2193,1,0,0.00E+00,0,0,,,PBS
4,19,0.523,1,0,0.00E+00,0,0,,,PBS
4,21,0.523,1,1,0.00E+00,0,0,,,
,,,,,,,,,,
5,0,0.001,1,-1,0.00E+00,0,0,,,PBS
5,3,0.001,1,-1,0.00E+00,0,0,,,PBS
5,5,0.001,1,-1,0.00E+00,0,0,,,PBS
5,7,0.01754,1,0,0.00E+00,0,0,,,PBS
5,10,0.0263,1,0,0.00E+00,0,0,,,PBS
5,12,0.041,1,0,0.00E+00,0,0,,,PBS
5,14,0.1052,1,0,0.00E+00,0,0,,,PBS
5,17,0.3742,1,0,0.00E+00,0,0,,,PBS
5,19,0.7514,1,0,0.00E+00,0,0,,,PBS
5,21,0.7514,1,1,0.00E+00,0,0,,,
,,,,,,,,,,
6,0,0.001,1,-1,0.00E+00,0,0,,,PBS
6,3,0.001,1,-1,0.00E+00,0,0,,,PBS
6,5,0.001,1,-1,0.00E+00,0,0,,,PBS
6,7,0.012,1,0,0.00E+00,0,0,,,PBS
6,10,0.026,1,0,0.00E+00,0,0,,,PBS
6,12,0.046,1,0,0.00E+00,0,0,,,PBS
6,14,0.1053,1,0,0.00E+00,0,0,,,PBS
6,17,0.5292,1,0,0.00E+00,0,0,,,PBS
6,19,0.5292,1,1,0.00E+00,0,0,,,
,,,,,,0,0,,,
7,0,0.001,1,-1,0.00E+00,0,0,,,PBS
7,3,0.001,1,-1,0.00E+00,0,0,,,PBS
7,5,0.001,1,-1,0.00E+00,0,0,,,PBS
7,7,0.01754,1,0,0.00E+00,0,0,,,PBS
7,10,0.0175,1,0,0.00E+00,0,0,,,PBS
7,12,0.035,1,0,0.00E+00,0,0,,,PBS
7,14,0.0964,1,0,0.00E+00,0,0,,,PBS
7,17,0.55263,1,0,0.00E+00,0,0,,,PBS
7,19,0.55263,1,1,0.00E+00,0,0,,,
,,,,,,,,,,
8,0,0.001,1,-1,0.00E+00,0,0,,,PBS
8,3,0.001,1,-1,0.00E+00,0,0,,,PBS
8,5,0.001,1,-1,0.00E+00,0,0,,,PBS
8,7,0.01754,1,0,0.00E+00,0,0,,,PBS
8,10,0.02339,1,0,0.00E+00,0,0,,,PBS
8,12,0.038,1,0,0.00E+00,0,0,,,PBS
8,14,0.10818,1,0,0.00E+00,0,0,,,PBS
8,17,0.6491,1,0,0.00E+00,0,0,,,PBS
8,19,0.6491,1,1,0.00E+00,0,0,,,
,,,,,,,,,,
9,0,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,3,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,5,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,7,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,10,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,12,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,14,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,17,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,19,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,21,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,24,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,26,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,28,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,31,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,33,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,35,0.001,1,-1,0.00E+00,0,0,,,v1x3
9,38,0.00877,1,0,0.00E+00,0,0,,,v1x3
9,40,0.008771,1,0,0.00E+00,0,0,,,v1x3
9,42,0.0789,1,0,0.00E+00,0,0,,,v1x3
9,45,0.51169,1,0,0.00E+00,0,0,,,v1x3
9,47,0.51169,1,1,0.00E+00,0,0,,,
,,,,,,,,,,
9,10,,,,1.00E+07,1,1,,,v1x3
9,12,,,,1.00E+07,1,1,,,v1x3
9,14,,,,1.00E+07,1,1,,,v1x3
9,17,,,,1.00E+07,1,1,,,v1x3
9,19,,,,1.00E+07,1,1,,,v1x3
9,21,,,,1.00E+07,1,1,,,v1x3
9,24,,,,1.00E+07,1,1,,,v1x3
9,26,,,,1.00E+07,1,1,,,v1x3
9,28,,,,1.00E+07,1,1,,,v1x3
,,,,,,,,,,
10,0,0.001,1,-1,0.00E+00,0,0,,,v1x3
10,3,0.001,1,-1,0.00E+00,0,0,,,v1x3
10,5,0.001,1,-1,0.00E+00,0,0,,,v1x3
10,7,0.001,1,-1,0.00E+00,0,0,,,v1x3
10,10,0.001,1,-1,0.00E+00,0,0,,,v1x3
10,12,0.001,1,-1,0.00E+00,0,0,,,v1x3
10,14,0.001,1,-1,0.00E+00,0,0,,,v1x3
10,17,0.001,1,-1,0.00E+00,0,0,,,v1x3
10,19,0.001,1,-1,0.00E+00,0,0,,,v1x3
10,21,0.001,1,-1,0.00E+00,0,0,,,v1x3
10,24,0.001,1,-1,0.00E+00,0,0,,,v1x3
10,26,0.001,1,-1,0.00E+00,0,0,,,v1x3
10,28,0.001,1,-1,0.00E+00,0,0,,,v1x3
10,31,0.00292,1,0,0.00E+00,0,0,,,v1x3
10,33,0.011695,1,0,0.00E+00,0,0,,,v1x3
10,35,0.01754,1,0,0.00E+00,0,0,,,v1x3
10,38,0.02923,1,0,0.00E+00,0,0,,,v1x3
10,40,0.1228,1,0,0.00E+00,0,0,,,v1x3
10,42,0.50584,1,0,0.00E+00,0,0,,,v1x3
10,45,0.50584,1,1,0.00E+00,0,0,,,
,,,,,,,,,,
10,10,,,,1.00E+07,1,1,,,v1x3
10,12,,,,1.00E+07,1,1,,,v1x3
10,14,,,,1.00E+07,1,1,,,v1x3
10,17,,,,1.00E+07,1,1,,,v1x3
10,19,,,,1.00E+07,1,1,,,v1x3
10,21,,,,1.00E+07,1,1,,,v1x3
10,24,,,,1.00E+07,1,1,,,v1x3
10,26,,,,1.00E+07,1,1,,,v1x3
10,28,,,,1.00E+07,1,1,,,v1x3
,,,,,,,,,,
11,0,0.001,1,-1,0.00E+00,0,0,,,v1x3
11,3,0.001,1,-1,0.00E+00,0,0,,,v1x3
11,5,0.001,1,-1,0.00E+00,0,0,,,v1x3
11,7,0.001,1,-1,0.00E+00,0,0,,,v1x3
11,10,0.001,1,-1,0.00E+00,0,0,,,v1x3
11,12,0.001,1,-1,0.00E+00,0,0,,,v1x3
11,14,0.001,1,-1,0.00E+00,0,0,,,v1x3
11,17,0.001,1,-1,0.00E+00,0,0,,,v1x3
11,19,0.001,1,-1,0.00E+00,0,0,,,v1x3
11,21,0.001,1,-1,0.00E+00,0,0,,,v1x3
11,24,0.001,1,-1,0.00E+00,0,0,,,v1x3
11,26,0.001,1,-1,0.00E+00,0,0,,,v1x3
11,28,0.00292,1,0,0.00E+00,0,0,,,v1x3
11,31,0.002923,1,0,0.00E+00,0,0,,,v1x3
11,33,0.00877,1,0,0.00E+00,0,0,,,v1x3
11,35,0.00877,1,0,0.00E+00,0,0,,,v1x3
11,38,0.011695,1,0,0.00E+00,0,0,,,v1x3
11,40,0.1081,1,0,0.00E+00,0,0,,,v1x3
11,42,0.497,1,0,0.00E+00,0,0,,,v1x3
11,45,0.497,1,1,0.00E+00,0,0,,,
,,,,,,,,,,
11,10,,,,1.00E+07,1,1,,,v1x3
11,12,,,,1.00E+07,1,1,,,v1x3
11,14,,,,1.00E+07,1,1,,,v1x3
11,17,,,,1.00E+07,1,1,,,v1x3
11,19,,,,1.00E+07,1,1,,,v1x3
11,21,,,,1.00E+07,1,1,,,v1x3
11,24,,,,1.00E+07,1,1,,,v1x3
11,26,,,,1.00E+07,1,1,,,v1x3
11,28,,,,1.00E+07,1,1,,,v1x3
,,,,,,,,,,
12,0,0.001,1,-1,0.00E+00,0,0,,,v1x3
12,3,0.001,1,-1,0.00E+00,0,0,,,v1x3
12,5,0.001,1,-1,0.00E+00,0,0,,,v1x3
12,7,0.001,1,-1,0.00E+00,0,0,,,v1x3
12,10,0.001,1,-1,0.00E+00,0,0,,,v1x3
12,12,0.001,1,-1,0.00E+00,0,0,,,v1x3
12,14,0.001,1,-1,0.00E+00,0,0,,,v1x3
